miRNA,Gene,ΔG open,Probability exact,Conservation PhyloP,miRmap score
hsa-miR-3671,BDNF,97.7127,20.5983465738675,81.8796217401115,0.104085
hsa-miR-590-3p,BDNF,96.5335,35.9931144162147,89.5697483452541,0.108299
hsa-miR-3133,BDNF,59.4932,7.34336543827906,75.3568059174026,0.39291
hsa-miR-4698,BDNF,77.1481,19.8478517093215,75.3568059174026,0.409605
hsa-miR-3163,BDNF,80.5138,16.8959124707415,93.6771201967147,0.441701
hsa-miR-607,BDNF,98.1587,12.9808713302613,87.5740505598826,0.449675
hsa-miR-548p,BDNF,77.583,37.5766577284606,67.5979861739471,0.744678
hsa-miR-33a-3p,BDNF,94.5027,12.7607516767462,83.1013041982363,0.81723
hsa-miR-513c-3p,BDNF,96.0553,1.63850158469731,75.3568059174026,0.966223
hsa-miR-382-3p,BDNF,54.3179,32.2040296433893,52.5386334909307,1.08033
hsa-miR-513a-3p,BDNF,96.0553,1.63850158469731,75.3568059174026,1.3809
hsa-miR-186-5p,BDNF,59.4932,66.6755217434474,68.5102541541102,1.67844
hsa-miR-5696,BDNF,87.3184,21.7066433367664,90.493042932752,1.69201
hsa-miR-3662,BDNF,92.7272,2.84924874612887,89.5697483452541,1.7588
hsa-miR-548aw,BDNF,66.4858,9.98591655543606,34.5716563421304,1.76229
hsa-miR-3143,BDNF,63.4514,22.8626878095953,86.2871929762612,2.19335
hsa-miR-561-3p,BDNF,59.2938,6.21665889330335,40.4980639771634,2.22044
hsa-miR-4719,BDNF,81.7736,37.2716842371527,89.5697483452541,2.30934
hsa-miR-4729,BDNF,65.3375,25.8604075369663,93.6771201967147,2.39016
hsa-miR-4799-5p,BDNF,86.8618,44.5796939096847,89.5697483452541,2.53811
hsa-miR-142-5p,BDNF,46.0476,35.8819122071028,18.8507203459414,2.60751
hsa-miR-5590-3p,BDNF,46.0476,35.8819122071028,18.8507203459414,2.69371
hsa-miR-3913-5p,BDNF,17.7038,4.86765635961546,2.5810531118858,2.8121
hsa-miR-216a-5p,BDNF,27.7953,26.3362117238015,19.6004640101382,2.94871
hsa-miR-29b-1-5p,BDNF,41.0691,30.4062605960804,41.4554229051776,3.09096
hsa-miR-6513-5p,BDNF,17.8006,37.3491726131218,1.3964410574674,3.18492
hsa-miR-548n,BDNF,58.9834,0.558264830407724,51.5750524059204,3.22839
hsa-miR-548t-5p,BDNF,59.4814,0.558264830407724,51.5750524059204,3.311
hsa-miR-29b-2-5p,BDNF,43.8994,31.268213253587,80.9158043706583,3.3487
hsa-miR-587,BDNF,27.6037,1.94737853842285,39.4360572947768,3.47535
hsa-miR-676-5p,BDNF,22.9823,0.861294335471925,39.8225398818604,3.60788
hsa-miR-642a-3p,BDNF,73.5653,50.3801925924985,52.5386334909307,3.73635
hsa-miR-380-3p,BDNF,92.6859,38.8249060109759,91.164182638948,3.86451
hsa-miR-3122,BDNF,17.7038,4.86765635961546,2.5810531118858,3.96984
hsa-miR-4789-3p,BDNF,10.502,3.31021357980497,39.5670638914446,4.22132
hsa-miR-522-3p,BDNF,67.0964,11.4246212750784,4.23105363039889,4.23298
hsa-miR-4643,BDNF,9.024,37.518640194789,12.6711733110946,4.50311
hsa-miR-642b-3p,BDNF,73.5653,50.3801925924985,52.5386334909307,4.62679
