miRNA,Gene,ΔG open,Probability exact,Conservation PhyloP,miRmap score
hsa-miR-186-5p,SLC6A4,80.2926,8.32335910909356,57.3184577399367,0.219636
hsa-miR-373-5p,SLC6A4,38.9228,11.5293796732151,32.8428812157412,0.219641
hsa-miR-126-5p,SLC6A4,69.6451,19.9818241158696,72.4258286725133,0.368422
hsa-miR-607,SLC6A4,77.4288,14.313136994337,95.1159874385939,0.40568
hsa-miR-3673,SLC6A4,19.5908,29.7981956399874,33.7613188452464,0.628365
hsa-miR-548x-3p,SLC6A4,94.212,8.52805853706593,40.2901467943355,0.640629
hsa-miR-33a-3p,SLC6A4,97.2026,14.5060330954751,73.474918472022,0.657799
hsa-miR-545-5p,SLC6A4,53.4008,25.397057254035,26.7943670313892,0.695449
hsa-miR-1297,SLC6A4,94.8387,39.5461481422849,57.3184577399367,0.746267
hsa-miR-548aq-3p,SLC6A4,93.9011,8.52805853706593,40.2901467943355,0.968977
hsa-miR-216a-5p,SLC6A4,7.95938,20.1854160138306,47.267022554794,0.973418
hsa-miR-568,SLC6A4,57.8305,42.6292483650766,33.0183224145855,1.16054
hsa-miR-5009-3p,SLC6A4,64.938,25.5823555443959,72.2684501066365,1.195
hsa-miR-6515-3p,SLC6A4,48.9925,27.8833846798704,52.5040572007881,1.36606
hsa-miR-3973,SLC6A4,9.47493,9.59585687738187,62.4943603497902,1.38535
hsa-miR-3133,SLC6A4,80.2926,0.809852277182388,57.3184577399367,1.38584
hsa-miR-548ac,SLC6A4,93.9011,15.8476779123044,37.2019485065314,1.43915
hsa-miR-520g,SLC6A4,9.01526,77.644344076581,35.6439807785231,1.45322
hsa-miR-520h,SLC6A4,10.1626,77.644344076581,35.6439807785231,1.64047
hsa-miR-4422,SLC6A4,32.6044,3.55335126963988,57.3184577399367,1.66242
hsa-miR-5688,SLC6A4,61.8857,2.00919110500051,73.2829373621756,1.69169
hsa-miR-548d-3p,SLC6A4,93.9011,15.8476779123044,37.2019485065314,1.7786
hsa-miR-7-2-3p,SLC6A4,61.8857,2.00919110500051,73.2829373621756,1.87779
hsa-miR-4289,SLC6A4,31.5564,38.8692149563951,35.503023981427,1.8968
hsa-miR-511,SLC6A4,22.7026,23.2655886398091,51.1209137066899,1.97065
hsa-miR-676-5p,SLC6A4,72.5665,32.1571261346567,70.1001202819083,2.04342
hsa-miR-506-3p,SLC6A4,58.4613,9.15592736895635,34.0808147927713,2.16687
hsa-miR-3910,SLC6A4,58.4871,9.15592736895635,34.0808147927713,2.239
hsa-miR-3976,SLC6A4,70.8418,30.2544437899088,56.1414986760851,2.30318
hsa-miR-4680-3p,SLC6A4,57.1594,20.9959498479431,58.7564192247849,2.36429
hsa-miR-7-1-3p,SLC6A4,61.8857,2.00919110500051,73.2829373621756,2.4038
hsa-miR-495-3p,SLC6A4,61.8857,2.00919110500051,73.2829373621756,2.43052
hsa-miR-548aw,SLC6A4,53.5834,46.3917601625947,70.1001202819083,2.55661
hsa-miR-9-3p,SLC6A4,78.3115,21.1901393582553,70.3355383485057,2.78812
hsa-miR-514b-5p,SLC6A4,60.3764,8.37288041603474,57.3184577399367,2.79296
hsa-miR-944,SLC6A4,86.3079,19.232909224207,57.3184577399367,2.85729
hsa-miR-3161,SLC6A4,47.1742,30.0861302080437,90.8184197375221,2.97538
hsa-miR-4477a,SLC6A4,99.3932,54.7809127503347,54.3457369101372,3.03578
hsa-miR-4328,SLC6A4,32.3008,1.01105872588818,72.4258286725133,3.11303
hsa-miR-548h-3p,SLC6A4,93.9049,15.8476779123044,37.2019485065314,3.20051
hsa-miR-6504-3p,SLC6A4,38.0131,97.5101563600027,54.3776878175811,3.26161
hsa-miR-182-5p,SLC6A4,70.4145,17.9152737992322,88.1440867783496,3.4321
hsa-miR-4748,SLC6A4,89.7758,24.3704776180577,78.0909844751932,3.47017
hsa-miR-4272,SLC6A4,96.1039,2.40880807000581,52.0777869389048,3.64111
hsa-miR-548ah-5p,SLC6A4,67.5035,35.9614297639319,77.3746225520111,3.65742
hsa-miR-2053,SLC6A4,90.2036,25.8041481103757,85.2996421472112,3.66608
hsa-miR-5697,SLC6A4,93.8529,98.36029794571,18.2062545279647,3.69902
hsa-miR-4668-3p,SLC6A4,82.7803,17.1712072557312,16.1163580113619,3.87425
hsa-miR-4499,SLC6A4,21.8177,6.77591507924571,51.7295561777421,3.89647
hsa-miR-216b,SLC6A4,7.95938,2.70259783168859,43.8094066674482,4.05206
hsa-miR-4463,SLC6A4,21.8177,6.77591507924571,51.7295561777421,4.05614
hsa-miR-3185,SLC6A4,77.801,24.7254293692485,53.8914144341178,4.10891
hsa-miR-374a-5p,SLC6A4,42.3815,2.28332414522305,57.489540803501,4.17284
hsa-miR-508-3p,SLC6A4,70.5395,42.2883537255683,19.416359048388,4.17745
hsa-miR-374b-3p,SLC6A4,60.8236,1.60639870429832,55.9502132926539,4.30805
hsa-miR-374b-5p,SLC6A4,42.3815,2.28332414522305,57.489540803501,4.35315
hsa-miR-4653-3p,SLC6A4,64.4171,39.7067709737915,39.1155374479994,4.52954
hsa-miR-582-3p,SLC6A4,46.208,3.90072069998375,28.8644681624435,4.79265
hsa-miR-148b-5p,SLC6A4,37.196,33.4105945236591,30.375415286317,4.83281
hsa-miR-664a-3p,SLC6A4,80.4884,6.87898507498753,81.7431280936033,4.86967
hsa-miR-3123,SLC6A4,95.3274,50.7507039786041,97.2692869473717,4.97823
hsa-miR-3156-5p,SLC6A4,27.4759,2.2093210035554,19.0957473132162,4.99271
