miRNA	PositionUTR	seedmatch	context++score	context++scorepercentile	weightedcontext++score	conservedbranchlength	Pct
hsa-miR-374a-5p	1079-1085	7mer-m8	-0.02	 46	-0.02	2.1000	N/A
hsa-miR-374b-5p	1079-1085	7mer-m8	-0.02	 43	-0.02	2.1000	N/A
hsa-miR-144-3p	1083-1089	7mer-m8	-0.16	 90	-0.15	2.1000	0.32
hsa-miR-365b-3p	1094-1100	7mer-1A	-0.16	 84	-0.16	3.966	0.36
hsa-miR-365a-3p	1094-1100	7mer-1A	-0.16	 84	-0.16	3.966	0.36
hsa-miR-101-3p.2	1266-1272	7mer-1A	-0.11	 87	-0.07	3.919	0.29
hsa-miR-339-3p	20-27	8mer	-0.81	 99	-0.81	0.043	N/A
hsa-miR-5708	22-28	7mer-1A	-0.34	 91	-0.34	0.000	N/A
hsa-miR-8055	23-30	8mer	-0.23	 98	-0.23	0.000	N/A
hsa-miR-129-5p	26-32	7mer-1A	-0.01	 47	-0.01	1.317	< 0.1
hsa-miR-138-2-3p	30-36	7mer-1A	-0.01	 48	-0.01	0.260	N/A
hsa-miR-4482-3p	31-37	7mer-m8	-0.06	 84	-0.06	0.000	N/A
hsa-miR-3168	33-39	7mer-m8	-0.12	 93	-0.12	0.000	N/A
hsa-miR-6758-3p	41-47	7mer-1A	-0.13	 89	-0.13	0.000	N/A
hsa-miR-4778-3p	50-56	7mer-1A	-0.06	 71	-0.06	0.000	N/A
hsa-miR-5589-3p	59-65	7mer-1A	-0.14	 81	-0.14	0.000	N/A
hsa-miR-519a-3p	62-68	7mer-m8	-0.14	 84	-0.14	0.016	N/A
hsa-miR-519c-3p	62-68	7mer-m8	-0.14	 84	-0.14	0.016	N/A
hsa-miR-519b-3p	62-68	7mer-m8	-0.14	 84	-0.14	0.016	N/A
hsa-miR-549a	70-76	7mer-1A	-0.08	 60	-0.08	0.016	N/A
hsa-miR-4795-3p	76-83	8mer	-0.03	 63	-0.03	0.000	N/A
hsa-miR-126-5p	76-82	7mer-1A	-0.01	 38	-0.01	0.000	N/A
hsa-miR-4711-5p	89-95	7mer-m8	-0.24	 92	-0.24	0.000	N/A
hsa-miR-337-3p	107-113	7mer-m8	-0.07	 58	-0.07	0.043	N/A
hsa-miR-6829-3p	110-116	7mer-m8	-0.29	 97	-0.29	0.000	N/A
hsa-miR-6791-3p	110-116	7mer-m8	-0.30	 97	-0.30	0.000	N/A
hsa-miR-7109-3p	112-118	7mer-m8	-0.22	 93	-0.22	0.000	N/A
hsa-miR-4446-5p	129-135	7mer-1A	-0.07	 74	-0.07	0.000	N/A
