miRNA,Gene,ΔG open,Probability exact,Conservation PhyloP,miRmap score
hsa-miR-944,HTR1A,98.293,93.7797861677092,5.69035947658795,21.0682
hsa-miR-5006-3p,HTR1A,61.626,84.0958690369771,23.4768546917623,30.3901
hsa-miR-4506,HTR1A,30.1882,82.6334569791197,87.5206371488764,33.431
hsa-miR-4755-5p,HTR1A,61.6213,84.0958690369771,23.4768546917623,35.1307
hsa-miR-892b,HTR1A,47.8978,92.9401080298714,23.4768546917623,40.4453
hsa-miR-450a-3p,HTR1A,37.5478,74.4784346867866,5.69035947658795,44.8781
hsa-miR-200a-5p,HTR1A,98.2888,90.9385147356481,86.7753828890945,47.3781
hsa-miR-486-5p,HTR1A,39.7093,88.7661139807928,83.8996305692735,49.5001
hsa-miR-595,HTR1A,98.1829,95.5428113015151,5.69035947658795,50.5774
hsa-miR-4260,HTR1A,48.859,74.4784346867866,5.69035947658795,52.6255
hsa-miR-20b-3p,HTR1A,42.0932,89.9580950917523,5.69035947658795,54.6119
hsa-miR-3922-3p,HTR1A,48.053,84.2766675026066,23.4768546917623,56.2077
hsa-miR-4723-5p,HTR1A,34.8491,59.2200014653474,39.9584953249154,57.1848
hsa-miR-921,HTR1A,25.6822,92.6126741397319,23.4768546917623,57.741
hsa-miR-653,HTR1A,89.7246,93.4255237184135,62.0094127845898,60.0845
hsa-miR-3606-5p,HTR1A,26.6891,98.3216195899289,28.2778263984068,61.5392
hsa-miR-1257,HTR1A,26.584,97.2872020492558,81.4657301576529,61.8556
hsa-miR-4747-5p,HTR1A,35,81.1721911760993,5.69035947658795,63.2
hsa-miR-4298,HTR1A,30.4903,86.3930566697548,2.39123794276587,64.6434
hsa-miR-5698,HTR1A,36.9565,59.2200014653474,39.9584953249154,72.0096
hsa-miR-3190-5p,HTR1A,48.0584,84.2766675026066,23.4768546917623,73.1359
hsa-miR-671-5p,HTR1A,34.4905,91.1173537251036,5.69035947658795,73.8209
hsa-miR-3137,HTR1A,42.0884,98.1061624054127,6.86343297404534,75.4455
hsa-miR-3938,HTR1A,61.625,95.9542006134942,28.2778263984068,86.9492
hsa-miR-296-3p,HTR1A,48.0656,96.8176480492679,28.2778263984068,87.2816
hsa-miR-193a-3p,HTR1A,47.8978,97.6563658114315,28.2778263984068,87.4992
hsa-miR-127-3p,HTR1A,31.2753,95.422725617417,25.6921526129712,88.9497
hsa-miR-4271,HTR1A,37.5927,92.2181533617718,6.86343297404534,89.9214
hsa-miR-625-5p,HTR1A,37.0219,89.3261524082117,6.86343297404534,91.8399
hsa-miR-184,HTR1A,31.2813,96.9082331612454,2.91568439066902,91.9302
hsa-miR-92b-5p,HTR1A,30.5931,94.8857362061784,2.91568439066902,94.1039
hsa-miR-200b-5p,HTR1A,98.2888,90.9385147356481,86.7753828890945,28.5492
hsa-miR-4790-3p,HTR1A,30.1252,83.6382035584397,87.5206371488764,38.9061
hsa-miR-1302,HTR1A,30.4953,86.3930566697548,2.39123794276587,52.9121
hsa-miR-4255,HTR1A,98.2072,95.7574320297989,5.69035947658795,57.206
hsa-miR-4425,HTR1A,44.0202,83.447429577743,5.69035947658795,57.9345
hsa-miR-5572,HTR1A,44.7995,74.4784346867866,5.69035947658795,60.1591
hsa-miR-5010-5p,HTR1A,36.9565,59.2200014653474,39.9584953249154,62.4407
hsa-miR-145-3p,HTR1A,61.658,87.365847523013,91.0008050736046,63.0961
hsa-miR-3176,HTR1A,48.0612,84.2766675026066,23.4768546917623,63.1508
hsa-miR-4525,HTR1A,37.0219,59.2200014653474,39.9584953249154,64.1544
hsa-miR-5196-5p,HTR1A,35,81.1721911760993,5.69035947658795,67.221
hsa-miR-3147,HTR1A,36.3059,83.447429577743,5.69035947658795,67.4434
hsa-miR-92a-1-5p,HTR1A,44.0144,93.2365000998326,6.86343297404534,86.7569
hsa-miR-193b-3p,HTR1A,47.8978,97.6563658114315,28.2778263984068,88.3893
hsa-miR-4725-3p,HTR1A,35.5932,92.2181533617718,6.86343297404534,91.5494
hsa-miR-1275,HTR1A,48.8835,87.4449391067608,48.9989481404217,93.7909
hsa-miR-4665-5p,HTR1A,36.9463,87.4449391067608,48.9989481404217,96.1732
