miRNA,Gene,ΔG open,Probability exact,Conservation PhyloP,miRmap score
hsa-miR-607,ZNF714,17.5202,98.8285198116982,0.0000131269134937713,9.67744
hsa-miR-3152-5p,ZNF714,31.1317,70.9736830732393,6.11397810194545,16.1445
hsa-miR-484,ZNF714,16.5258,69.2457581213317,6.11397810194545,17.6441
hsa-miR-411-5p,ZNF714,22.6194,96.5434065795337,6.11397810194545,18.2218
hsa-miR-4478,ZNF714,18.1726,61.8826042971855,6.11397810194545,26.072
hsa-miR-509-5p,ZNF714,43.2854,88.8911486975989,6.11397810194545,28.6651
hsa-miR-3671,ZNF714,17.6798,93.9697701619643,0.0000131269134937713,28.7643
hsa-miR-3198,ZNF714,19.1091,83.5360009987907,6.11397810194545,31.5552
hsa-miR-4645-5p,ZNF714,17.2883,74.7580511623102,6.11397810194545,32.552
hsa-miR-3155b,ZNF714,17.4653,69.2457581213317,6.11397810194545,34.9759
hsa-miR-4279,ZNF714,26.4782,52.5564348500505,6.11397810194545,37.3887
hsa-miR-3155a,ZNF714,16.6929,69.2457581213317,6.11397810194545,37.6764
hsa-miR-4418,ZNF714,44.1854,88.8911486975989,6.11397810194545,38.4797
hsa-miR-328,ZNF714,17.2973,66.8928454645562,6.11397810194545,38.7989
hsa-miR-4524b-3p,ZNF714,35.6824,91.6496884123085,6.11397810194545,41.9282
hsa-miR-2116-3p,ZNF714,9.20958,98.2376022083684,0.0000131269134937713,43.2185
hsa-miR-3150b-5p,ZNF714,23.7736,89.6137539427681,6.11397810194545,44.2946
hsa-miR-3929,ZNF714,16.561,61.8826042971855,6.11397810194545,44.5494
hsa-miR-532-3p,ZNF714,9.20745,98.2376022083684,0.0000131269134937713,46.2201
hsa-miR-4714-3p,ZNF714,23.791,90.2295483740453,6.11397810194545,51.1611
hsa-miR-4420,ZNF714,43.2184,85.2839854103445,6.11397810194545,56.4225
hsa-miR-759,ZNF714,31.2974,84.6461642982822,6.11397810194545,57.5351
hsa-miR-4505,ZNF714,19.7599,65.5838921454746,6.11397810194545,59.3819
hsa-miR-1287,ZNF714,19.5817,66.4455117694813,6.11397810194545,61.412
hsa-miR-105-5p,ZNF714,17.7035,90.987679774194,0.0000131269134937713,61.8009
hsa-miR-24-3p,ZNF714,38.6917,77.0421885288702,6.11397810194545,64.9629
hsa-miR-4312,ZNF714,36.0105,94.2330525060616,7.35712306363258,74.5795
hsa-miR-431-5p,ZNF714,31.9959,94.1339092076328,7.35712306363258,77.2096
hsa-miR-924,ZNF714,31.2974,95.6587844091374,7.35712306363258,79.0123
hsa-miR-4772-3p,ZNF714,25.9914,95.6667927030656,7.35712306363258,81.0718
