mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-miR-449c-5p,NM_001018077,NR3C1,3922,3946,"0,802197802198","-21,7",1,"4,803457E-07","0,647","2,903346","3,34003112375","-9,73968769688575",18,24,9,3UTR,,0,0
hsa-miR-4530,NM_001018076,NR3C1,3281,3323,"0,802197802198","-22,6",1,"1,444124E-06","0,544","2,87410769230769","2,77151820375","-7,51742683610163",14,19,9,3UTR,,0,0
hsa-miR-140-3p,NM_001018077,NR3C1,4005,4026,"0,807692307692","-17,8",1,"0,0001808918","0,588","6,115095","5,15297898","-6,43255626800408",16,21,5,3UTR,,0,0
hsa-miR-504-3p,NM_001018077,NR3C1,4248,4274,"0,807692307692","-25,5",1,"0,01616659","0,574","5,72177518181818","5,4033924275","-8,21210318948903",19,26,16,3UTR,,0,0
hsa-miR-556-5p,NM_001018077,NR3C1,5240,5264,"0,807692307692","-18,8",1,"0,0002039698","0,529","5,30235666666667","3,54680237875","-9,02511026156838",18,24,9,3UTR,,0,1
hsa-miR-562,NM_001018077,NR3C1,3933,3950,"0,807692307692","-17,5",1,"4,40616E-07","0,632","3,61170071428571","3,87813977375","-10,1721504219127",15,17,13,3UTR,,0,0
hsa-miR-623,NM_001018077,NR3C1,4262,4288,"0,807692307692","-23,9",1,"0,002118743","0,574","5,54721226666667","5,1476568475","-9,30908697448838",19,26,12,3UTR,MIRT776087,0,1
hsa-miR-630,NM_001018077,NR3C1,4153,4178,"0,807692307692","-19,4",1,"0,0002639388","0,529","5,68446882352941","5,459285115","-6,82534711231631",18,25,11,3UTR,,0,0
hsa-miR-668-3p,NM_001018077,NR3C1,3478,3535,"0,807692307692","-21,7",1,"1,187799E-05","0,618","4,19714742307692","3,37110147375","-3,79332483735712",20,57,6,3UTR,,0,0
hsa-miR-767-5p,NM_001018077,NR3C1,4571,4595,"0,807692307692",-22,1,"0,0122556","0,632","3,88126801428571","4,46494266375","-10,8813860964245",20,24,11,3UTR,,0,0
hsa-miR-541-3p,NM_001018077,NR3C1,4691,4711,"0,807692307692","-21,9",1,"0,02033367","0,632","4,38485625","3,37244544125","-6,66278223910441",16,20,8,3UTR,,0,0
hsa-miR-1278,NM_001018077,NR3C1,4204,4229,"0,807692307692","-17,8",1,"0,006551027","0,603","5,2423532625","4,99874314","-10,3702465501948",20,25,10,3UTR,,0,0
hsa-miR-3150a-3p,NM_001018077,NR3C1,6729,6747,"0,807692307692","-21,8",1,"7,891204E-07","0,559","0,039137833333333","0,29776683625","-13,6104431422997",15,18,10,3UTR,,0,0
