miRNA,Gene,ΔG open,Probability exact,Conservation PhyloP,miRmap score
hsa-miR-548x-3p,NRIP3,69.3392,18.8983886909878,94.8271559609905,0.699611
hsa-miR-548aq-3p,NRIP3,62.5429,18.8983886909878,94.8271559609905,1.22072
hsa-miR-4528,NRIP3,20.313,65.0872849823423,53.6636099773469,1.34259
hsa-miR-3143,NRIP3,37.4592,53.921190642781,34.8378701477841,1.50849
hsa-miR-5009-3p,NRIP3,29.3558,39.8682999662165,70.6333223811118,1.5763
hsa-miR-551b-5p,NRIP3,53.9481,80.508974323427,98.2678643837564,1.59931
hsa-miR-200b-3p,NRIP3,20.0907,50.5238771853,35.5697743365428,1.6114
hsa-miR-200c-3p,NRIP3,18.7282,50.5238771853,35.5697743365428,2.03203
hsa-miR-6509-5p,NRIP3,7.86279,54.5546590844491,7.82013555638488,2.15554
hsa-miR-3613-3p,NRIP3,86.527,53.7281473873057,73.0873200972914,2.16461
hsa-miR-892c-5p,NRIP3,68.7111,35.2444551084009,88.85131236974,2.36684
hsa-miR-1297,NRIP3,54.9969,43.8592727446778,76.9828760726165,2.46255
hsa-miR-5590-3p,NRIP3,27.8608,46.5020484658231,84.7952011154726,2.53058
hsa-miR-142-5p,NRIP3,27.8608,46.5020484658231,84.7952011154726,2.53826
hsa-miR-549a,NRIP3,20.0365,43.687868921732,80.4468191322664,2.54341
hsa-miR-3182,NRIP3,53.8209,42.2225060321661,33.7796046357432,2.56665
hsa-miR-429,NRIP3,20.0907,50.5238771853,35.5697743365428,2.57114
hsa-miR-495-3p,NRIP3,33.5124,35.8720528665123,6.63740065059609,2.57692
hsa-miR-548l,NRIP3,71.0459,46.5020484658231,46.5514482464216,2.64566
hsa-miR-548ar-3p,NRIP3,54.9243,25.1940462284576,17.6045955748912,2.70193
hsa-miR-4476,NRIP3,4.04122,18.0594850496615,34.1740815131446,2.73065
hsa-miR-548e,NRIP3,54.8749,25.1940462284576,17.6045955748912,2.73711
hsa-miR-4490,NRIP3,40.5578,44.6029210600627,71.7361406375506,2.76729
hsa-miR-501-5p,NRIP3,15.1618,38.7146177077475,6.63740065059609,2.86384
hsa-miR-590-3p,NRIP3,40.8206,5.40369314014499,93.7546346208954,3.11643
hsa-miR-4328,NRIP3,48.2734,42.1148587620417,76.0679433290141,3.38328
hsa-miR-2053,NRIP3,13.784,12.6454833609493,30.7244599161164,3.4431
hsa-miR-5688,NRIP3,33.5124,35.8720528665123,6.63740065059609,3.57155
hsa-miR-29b-2-5p,NRIP3,36.7712,51.0311259304995,18.0593512390559,4.04562
hsa-miR-340-5p,NRIP3,36.8371,12.0685221847555,76.5993339141555,4.08367
hsa-miR-4662b,NRIP3,42.2012,4.63174472223225,16.4924834636989,4.24911
hsa-miR-5697,NRIP3,44.7669,41.566213178306,76.9828760726165,4.43377
