mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-let-7a-5p,NM_001045,SLC6A4,4965,4986,"0,846153846154","-19,2",1,"4,876888E-06","0,456","5,941097","5,27516182695","-7,98267041865412",16,21,10,3UTR,,0,0
hsa-let-7a-2-3p,NM_001045,SLC6A4,4981,4999,"0,846153846154","-24,4",1,"2,20359E-05","0,441","6,01016166363636","5,71370957195","-8,05661162101414",15,18,11,3UTR,,0,0
hsa-let-7a-2-3p,NM_001045,SLC6A4,5571,5590,"0,846153846154","-23,6",1,"2,114168E-06","0,441","6,02748375","5,699804858275","-12,6809233737444",18,19,18,3UTR,,0,0
hsa-let-7b-5p,NM_001045,SLC6A4,1107,1139,"0,923076923077","-25,1",1,"0,09098123","0,426","0,103375990322581","0,0789742875","-3,93757444620166",21,32,9,CDS,,0,0
hsa-let-7b-3p,NM_001045,SLC6A4,5552,5587,"0,846153846154","-25,4",1,"1,799828E-05","0,441","7,05961333333333","5,272375867025","-17,0124029530468",15,17,15,3UTR,,0,1
hsa-let-7b-3p,NM_001045,SLC6A4,5016,5031,1,"-22,8",1,"0,0001929237","0,456","4,8630604695","5,1610291632","-17,0124029530468",14,15,14,3UTR,,0,1
hsa-let-7c-5p,NM_001045,SLC6A4,1107,1139,"0,846153846154","-23,2",1,"0,09098123","0,426","0,103375990322581","0,0789742875","-3,93757444620166",21,32,9,CDS,,0,0
hsa-let-7c-5p,NM_001045,SLC6A4,4061,4079,"0,923076923077","-22,1",1,"0,1547245","0,5","0,682398545454545","0,60458833125","-5,93929536754377",17,18,17,3UTR,,0,0
hsa-let-7d-5p,NM_001045,SLC6A4,1118,1138,"0,846153846154","-19,2",1,"0,0675014","0,426","0,216039333333333","0,0777755125","-5,08245545002336",17,20,9,CDS,,0,0
hsa-let-7d-5p,NM_001045,SLC6A4,4063,4080,"0,923076923077","-19,4",1,"0,1465476","0,515","0,6405845","0,58958980625","-6,08354497638831",16,17,16,3UTR,,0,0
