miRNA,Position in the UTR,seed match,context++ score,context++ score percentile,weighted context++ score,conserved branch length,Pct
Conserved sites,,,,,,,
hsa-miR-140-3p.1,95-101,7mer-1A,"-0,11",79,"-0,11","3,72","0,17"
hsa-miR-133b,99-105,7mer-m8,"-0,31",92,"-0,31","4,59","0,78"
hsa-miR-133a-3p.2,99-105,7mer-m8,"-0,31",92,"-0,31","4,59","0,78"
hsa-miR-133a-3p.1,99-105,7mer-1A,"-0,19",78,"-0,19","4,59","0,85"
hsa-miR-34c-5p,245-252,8mer,"-0,57",99,"-0,57","4,076","0,86"
hsa-miR-449b-5p,245-252,8mer,"-0,56",99,"-0,56","4,076","0,86"
hsa-miR-449a,245-252,8mer,"-0,54",99,"-0,54","4,076","0,86"
hsa-miR-34a-5p,245-252,8mer,"-0,54",99,"-0,54","4,076","0,86"
hsa-miR-490-3p,321-327,7mer-m8,"-0,09",76,"-0,09","2,88",< 0.1
hsa-miR-653-5p,411-418,8mer,"-0,03",54,"-0,03","1,995",N/A
hsa-miR-5195-3p,2843-2849,7mer-m8,"-0,11",75,"-0,1","3,63","0,52"
hsa-miR-145-5p,2843-2849,7mer-m8,"-0,06",73,"-0,05","3,63","0,52"
hsa-miR-106a-5p,2887-2894,8mer,"-0,21",95,"-0,18","3,214","0,66"
hsa-miR-20b-5p,2887-2894,8mer,"-0,21",95,"-0,18","3,214","0,66"
hsa-miR-93-5p,2887-2894,8mer,"-0,21",95,"-0,18","3,214","0,66"
hsa-miR-17-5p,2887-2894,8mer,"-0,21",95,"-0,18","3,214","0,66"
hsa-miR-519d-3p,2887-2894,8mer,"-0,2",94,"-0,17","3,214","0,66"
hsa-miR-20a-5p,2887-2894,8mer,"-0,19",94,"-0,16","3,214","0,66"
hsa-miR-526b-3p,2887-2894,8mer,"-0,13",94,"-0,11","3,214","0,66"
hsa-miR-106b-5p,2887-2894,8mer,"-0,2",94,"-0,17","3,214","0,66"
hsa-miR-142-5p,2889-2895,7mer-m8,"-0,02",59,"-0,02","3,216","0,15"
hsa-miR-5590-3p,2889-2895,7mer-m8,"-0,02",56,"-0,02","3,216","0,15"
hsa-miR-141-3p,2901-2907,7mer-m8,"-0,24",96,"-0,2","3,194","0,31"
hsa-miR-200a-3p,2901-2907,7mer-m8,"-0,22",95,"-0,19","3,194","0,31"
hsa-miR-342-3p,2929-2935,7mer-1A,"-0,03",64,"-0,02","3,91",N/A
