mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-let-7a-2-3p,NM_000524,HTR1A,1346,1373,"0,846153846154","-24,9",1,"0,0005380069","0,338","5,798925625","4,43024336","-9,50465148994063",18,27,8,CDS,,0,0
hsa-let-7b-5p,NM_000524,HTR1A,885,906,1,"-23,3",1,"5,400209E-05","0,397","-0,001320222222222","0,88788313","-6,50068725424361",18,21,9,CDS,,0,0
hsa-let-7b-5p,NM_000524,HTR1A,1152,1176,"0,846153846154","-20,2",1,"0,04481528","0,544","6,16789178571429","3,41410039","-4,65016475487752",20,24,8,CDS,,0,0
hsa-let-7b-3p,NM_000524,HTR1A,45,69,"0,846153846154","-25,4",0,"0,314644","0,441","0,2359546","-0,087492324285714","-16,5034948343317",17,24,10,5UTR,,0,0
hsa-let-7c-5p,NM_000524,HTR1A,885,906,"0,923076923077","-22,1",1,"5,400209E-05","0,397","-0,064161375","0,838867005","-6,73373633454722",17,21,8,CDS,,0,0
hsa-let-7c-5p,NM_000524,HTR1A,920,940,"0,923076923077","-18,5",1,"0,003655208","0,382","0,350591","1,479847045","-10,974034820856",15,20,10,CDS,,0,0
hsa-let-7d-3p,NM_000524,HTR1A,45,69,"0,846153846154","-21,2",0,"0,314644","0,441","0,2359546","-0,087492324285714","-16,5034948343317",17,24,10,5UTR,,0,0
hsa-let-7d-3p,NM_000524,HTR1A,1340,1357,"0,923076923077","-17,6",0,"0,008494982","0,397","5,461679","4,631963535","-20,159329428946",13,17,6,CDS,,0,0
hsa-let-7f-2-3p,NM_000524,HTR1A,27,43,1,"-18,3",1,"0,1555404","0,456","0,035810966666667","0,029099924852941","-17,7478525132974",14,16,8,5UTR,,0,0
hsa-miR-18a-5p,NM_000524,HTR1A,942,961,"0,923076923077",-20,1,"0,0007938689","0,382","0,534924044444445","1,90591082","-12,3929805842695",15,19,7,CDS,,0,0
hsa-miR-18a-3p,NM_000524,HTR1A,61,84,"0,846153846154","-25,5",1,"0,4451507","0,382","0,245963175","-0,030236665","-7,3813515765973",17,23,8,5UTR,,0,0
hsa-miR-18a-3p,NM_000524,HTR1A,30,52,"0,846153846154","-21,5",1,"0,09300174","0,412","0,00578935","0,0042879225","-9,17086738322832",17,22,11,5UTR,,0,0
hsa-miR-19b-1-5p,NM_000524,HTR1A,725,781,"0,846153846154","-23,7",1,"0,002442447","0,426","0,7879653","2,13654548","-8,42925875961972",18,23,10,CDS,,0,0
hsa-miR-19b-3p,NM_000524,HTR1A,571,587,"0,923076923077","-19,2",1,"1,167324E-05","0,324","3,368213925","4,528551625","-7,27184953568305",13,16,8,5UTR,,0,0
hsa-miR-19b-2-5p,NM_000524,HTR1A,760,781,"0,846153846154","-20,9",1,"0,002442447","0,426","2,4771372","1,926648425","-9,28609867714012",17,21,10,CDS,,0,0
hsa-miR-21-3p,NM_000524,HTR1A,970,1009,"0,846153846154","-22,3",1,"0,02765253","0,324","2,2923841875","2,4809086375","-8,05822672855006",17,23,10,CDS,,0,0
hsa-miR-21-3p,NM_000524,HTR1A,1316,1335,"0,923076923077","-19,9",1,"0,002257157","0,382","3,70631325","5,288026225","-14,5066457639326",14,19,8,CDS,,0,0
hsa-miR-22-5p,NM_000524,HTR1A,207,227,"0,846153846154",-20,1,"0,0002079751","0,412","-0,37248296","-0,88585398","-5,18008091452984",17,20,8,5UTR,,0,0
hsa-miR-23a-5p,NM_000524,HTR1A,1506,1527,"0,923076923077","-26,5",1,"0,02119973","0,382","4,76742957142857","3,43672282","-10,0653977123415",17,21,11,CDS,,0,0
hsa-miR-24-1-5p,NM_000524,HTR1A,240,257,"0,846153846154","-17,1",1,"0,0002190963","0,412","-1,510304125","-0,4550429975","-10,9260690227614",12,17,8,5UTR,,0,0
hsa-miR-24-3p,NM_000524,HTR1A,1084,1102,"0,846153846154","-21,6",1,"1,924776E-06","0,309","4,39608670588235","3,9231143325","-4,95700071937229",15,18,11,CDS,,0,0
hsa-miR-24-2-5p,NM_000524,HTR1A,240,257,"0,846153846154","-17,1",1,"0,0002190963","0,412","-1,510304125","-0,4550429975","-10,9260690227614",12,17,8,5UTR,,0,0
hsa-miR-25-5p,NM_000524,HTR1A,429,459,1,"-24,2",1,"0,002978659","0,471","4,77523","3,0064542525","-4,95700071937229",15,17,15,5UTR,,0,0
hsa-miR-25-5p,NM_000524,HTR1A,289,304,"0,846153846154","-22,4",1,"0,001451603","0,338","-0,399503825","-0,366479285","-12,4965397033582",11,15,8,5UTR,,0,0
hsa-miR-26a-1-3p,NM_000524,HTR1A,151,172,"0,846153846154","-20,8",1,"1,525497E-05","0,456","-0,48056169","-0,297429205","-3,93757444620166",17,21,9,5UTR,,0,0
hsa-miR-26a-1-3p,NM_000524,HTR1A,51,70,"0,846153846154","-18,4",1,"0,3130058","0,426","0,080843","-0,04824968","-11,0368776648994",16,19,8,5UTR,,0,0
hsa-miR-26b-3p,NM_000524,HTR1A,49,70,"0,846153846154","-25,1",1,"0,3130058","0,426","0,035810428571429","-0,0527529225","-9,79437119657121",18,21,13,5UTR,,0,0
hsa-miR-26b-3p,NM_000524,HTR1A,144,172,"0,846153846154","-22,4",1,"1,525497E-05","0,456","-0,444535733333333","-0,2779151325","-3,93757444620166",21,28,12,5UTR,,0,0
hsa-miR-27a-5p,NM_000524,HTR1A,865,890,"0,923076923077","-25,9",1,"0,0001311087","0,397","1,57599395","1,5156669175","-4,95700071937229",20,25,7,CDS,,0,0
hsa-miR-27a-5p,NM_000524,HTR1A,1962,1987,"0,923076923077",-24,1,"0,0008959585","0,338","0,0811566","-0,18555951625","-8,70703595965483",17,25,8,3UTR,,0,0
hsa-miR-27a-5p,NM_000524,HTR1A,1999,2019,1,"-23,6",1,"3,006583E-07","0,338","-0,4322917875","0,22143275375","-8,85128556849938",18,20,11,3UTR,,0,0
hsa-miR-28-5p,NM_000524,HTR1A,368,384,"0,846153846154","-18,4",1,"5,516159E-05","0,338","-0,084275514285714","0,7158015325","-12,219503123706",12,16,7,5UTR,,0,0
hsa-miR-31-3p,NM_000524,HTR1A,729,747,"0,846153846154","-19,9",1,"2,020549E-05","0,338","1,01850325714286","2,4661666775","-7,3813515765973",16,18,9,CDS,,0,0
hsa-miR-31-3p,NM_000524,HTR1A,805,852,"0,846153846154","-19,4",1,"1,545304E-05","0,397","2,0489430173913","1,617469455","-3,79332483735712",20,47,7,CDS,,0,0
hsa-miR-33a-5p,NM_000524,HTR1A,720,739,"0,923076923077","-21,4",1,"0,0002435775","0,324","-0,064162025","2,3964417275","-12,4965397033582",15,19,8,CDS,,0,0
hsa-miR-92a-3p,NM_000524,HTR1A,51,72,"0,923076923077","-24,3",1,"0,367448","0,426","0,2359555","-0,0332388475","-13,67754798477",16,21,6,5UTR,,0,0
hsa-miR-92a-2-5p,NM_000524,HTR1A,1972,1993,"0,923076923077","-22,7",1,"0,01742795","0,338","0,523012828571429","-0,1037000325","-11,6055306434235",15,21,7,3UTR,,0,0
