mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-let-7a-2-3p,NM_182515,ZNF714,6760,6811,"0,961538461538","-24,3",1,"1,850329E-05","0,426","-0,102010066666667","0,05206109","-4,90607308675591",14,16,9,3UTR,,0,1
hsa-let-7a-2-3p,NM_182515,ZNF714,6207,6231,"0,846153846154","-25,2",1,"1,573663E-05","0,456","0,278468917647059","-0,0152815225","-8,05661162101414",17,24,9,3UTR,,0,1
hsa-let-7b-5p,NM_182515,ZNF714,5001,5024,"0,923076923077","-24,1",1,"0,007680245","0,456","-0,333148394117647","0,0976255575","-3,79332483735712",20,23,10,3UTR,,0,0
hsa-let-7b-5p,NM_182515,ZNF714,4842,4864,"0,846153846154","-20,6",1,"0,004592045","0,382","0,4160245","0,12737507","-5,85080402196783",18,22,8,3UTR,,0,0
hsa-let-7b-5p,NM_182515,ZNF714,7178,7227,"0,846153846154","-22,3",1,"8,838628E-05","0,5","0,468842285714286","-0,13837941875","-7,47306994908693",19,25,7,3UTR,,0,0
hsa-let-7b-3p,NM_182515,ZNF714,2084,2106,"0,923076923077","-26,1",1,"5,042833E-05","0,456","-0,153239377777778","-0,139857955","-17,0124029530468",15,17,15,3UTR,,0,0
hsa-let-7b-3p,NM_182515,ZNF714,6793,6808,"0,820512820513","-22,8",1,"3,544971E-05","0,441","0,211846875","0,03491942","-17,0124029530468",14,15,14,3UTR,,0,0
hsa-let-7c-5p,NM_182515,ZNF714,7837,7858,"0,846153846154","-19,3",1,"9,29723E-05","0,574","0,013834288888889","-0,077426905","-9,33931466908909",16,21,9,3UTR,,0,0
hsa-let-7c-3p,NM_182515,ZNF714,2090,2109,"0,923076923077","-19,7",1,"1,874935E-05","0,456","-0,680447857142857","-0,2254287675","-14,6488579316343",18,19,18,3UTR,,0,1
hsa-let-7d-5p,NM_182515,ZNF714,5214,5235,"0,923076923077",-22,1,"8,57825E-05","0,632","-0,243087617647059","-0,17356292625","-4,95700071937229",19,21,13,3UTR,,0,0
hsa-let-7d-3p,NM_182515,ZNF714,2090,2106,"0,923076923077","-23,4",1,"5,042833E-05","0,456","-0,434953777777778","-0,22384413","-17,0124029530468",15,16,15,3UTR,,0,0
hsa-let-7e-5p,NM_182515,ZNF714,4992,5009,"0,846153846154","-21,7",1,"0,001119369","0,441","-0,279467475","0,02204646625","-4,17062352650528",15,17,10,3UTR,,0,0
hsa-let-7e-5p,NM_182515,ZNF714,4965,4982,1,"-21,3",1,"0,0004189867","0,485","0,186873925","-0,05514115875","-4,17062352650528",15,17,10,3UTR,,0,0
hsa-let-7e-5p,NM_182515,ZNF714,7289,7306,1,"-21,3",1,"0,000767916","0,412","0,005524375","-0,05566915375","-4,17062352650528",15,17,10,3UTR,,0,0
hsa-let-7e-3p,NM_182515,ZNF714,2058,2098,"0,846153846154","-20,8",0,"0,0007330076","0,426","-0,414367312820513","-0,2748876075","-17,1102449395148",15,40,8,3UTR,,0,0
hsa-let-7e-3p,NM_182515,ZNF714,6207,6225,"0,923076923077","-19,7",1,"5,488493E-07","0,412","0,278468917647059","-0,0152815225","-13,6655996434504",13,18,9,3UTR,,0,0
hsa-let-7e-3p,NM_182515,ZNF714,6752,6770,"0,923076923077","-19,7",1,"2,880753E-06","0,397","-0,222818705882353","0,042265815","-13,6655996434504",13,18,9,3UTR,,0,0
hsa-let-7f-1-3p,NM_182515,ZNF714,2090,2106,"0,923076923077","-20,9",1,"5,042833E-05","0,456","-0,434953777777778","-0,22384413","-17,0124029530468",15,16,15,3UTR,,0,0
hsa-let-7f-1-3p,NM_182515,ZNF714,6248,6268,1,"-20,3",1,"0,0004238979","0,485","0,0404287","0,1322598175","-10,0055931121196",17,20,16,3UTR,,0,0
